Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
91,Wataru Matsumoto,27,SEI,Fgn,,1,9,.100,3.93,4.34,34,,,0,0,0,66.1,54,32,29,11,29,1,41,2,0,1,284,1.251,7.3,1.5,3.9,5.6,1.41,player.fcgi?id=matsum000wat
92,Yoshinobu Mizukami,25,SEI,Fgn,,1,1,.500,5.28,5.59,29,,,0,0,0,29.0,34,18,17,1,14,0,13,1,0,0,131,1.655,10.6,0.3,4.3,4.0,0.93,player.fcgi?id=mizuka001yos
93,Ren Mukunoki,24,ORX,Fgn,,1,1,.500,5.54,5.54,10,,,0,0,0,13.0,18,8,8,0,2,0,7,1,0,1,60,1.538,12.5,0.0,1.4,4.8,3.50,player.fcgi?id=mukuno000ren
94,Patrick Murphy,29,NPN,Fgn,,1,2,.333,3.26,3.96,40,,,0,0,0,38.2,31,17,14,2,15,1,30,3,0,1,158,1.190,7.2,0.5,3.5,7.0,2.00,player.fcgi?id=murphy011pat
95,Tsubasa Nabatame,29,NPN,Fgn,,1,1,.500,3.89,3.89,43,,,0,0,1,41.2,48,18,18,1,9,1,34,1,0,1,172,1.368,10.4,0.2,1.9,7.3,3.78,player.fcgi?id=nabata000tsu
96,Shunsuke Nakamori,22,LOT,Fgn,,1,1,.500,2.63,2.63,5,,,0,0,0,24.0,23,7,7,0,7,0,13,1,0,0,103,1.250,8.6,0.0,2.6,4.9,1.86,player.fcgi?id=nakamo000shu
97,Toshiya Nakamura*,27,LOT,Fgn,,1,0,1.000,3.71,3.71,17,,,0,0,0,34.0,30,14,14,1,9,0,17,1,1,0,139,1.147,7.9,0.3,2.4,4.5,1.89,player.fcgi?id=nakamu001tos
98,Masaya Nishigaki,25,TOH,Fgn,,1,2,.333,7.50,9.00,18,,,0,0,1,18.0,28,18,15,2,12,0,13,0,0,3,96,2.222,14.0,1.0,6.0,6.5,1.08,player.fcgi?id=nishig000mas
99,Ryo Ohyama,22,FKA,Fgn,,1,1,.500,3.25,3.25,18,,,0,0,0,27.2,19,10,10,2,14,0,23,2,0,1,114,1.193,6.2,0.7,4.6,7.5,1.64,player.fcgi?id=ohyama000ryo
100,Luis Perdomo,31,ORX,Fgn,,1,0,1.000,0.64,0.64,28,,,0,0,4,28.0,20,2,2,1,3,0,19,0,0,0,105,0.821,6.4,0.3,1.0,6.1,6.33,player.fcgi?id=perdom002lui
