Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
44,Kenshin Hotta,23,YOM,Fgn,,3,3,.500,2.45,2.45,17,,,0,0,0,51.1,43,14,14,2,13,0,30,2,0,0,200,1.091,7.5,0.4,2.3,5.3,2.31,player.fcgi?id=hotta-000ken
45,Takuma Kirishiki*,25,HAN,Fgn,,3,1,.750,1.79,1.93,70,,,0,0,0,65.1,48,14,13,0,18,5,60,4,0,1,263,1.010,6.6,0.0,2.5,8.3,3.33,player.fcgi?id=kirish000tak
46,Naofumi Kizawa,26,YKU,Fgn,,3,3,.500,3.06,3.23,55,,,0,0,5,53.0,50,19,18,4,20,5,46,0,0,5,225,1.321,8.5,0.7,3.4,7.8,2.30,player.fcgi?id=kizawa000nao
47,Humberto Mejía,27,CNI,Fgn,,3,8,.273,4.88,5.00,15,,,0,0,0,75.2,73,42,41,7,24,1,51,4,0,1,323,1.282,8.7,0.8,2.9,6.1,2.13,player.fcgi?id=mejia-002hum
48,Hayate Nakagawa,25,YKO,Fgn,,3,0,1.000,4.42,4.74,29,,,0,0,1,57.0,65,30,28,3,13,0,36,6,0,0,250,1.368,10.3,0.5,2.1,5.7,2.77,player.fcgi?id=nakaga000hay
49,Yasunobu Okugawa,23,YKU,Fgn,,3,2,.600,2.76,3.31,7,,,0,0,0,32.2,29,12,10,4,9,0,12,3,0,1,136,1.163,8.0,1.1,2.5,3.3,1.33,player.fcgi?id=okugaw000yas
50,Tatsuya Shimizu,24,CNI,Fgn,,3,1,.750,1.40,1.86,60,,,0,0,1,58.0,41,12,9,1,18,2,52,1,0,5,229,1.017,6.4,0.2,2.8,8.1,2.89,player.fcgi?id=shimiz000tat
51,Hideaki Wakui,38,CNI,Fgn,,3,5,.375,3.07,3.28,16,,,0,0,0,85.0,79,31,29,4,23,1,46,2,0,3,349,1.200,8.4,0.4,2.4,4.9,2.00,player.fcgi?id=wakui-001hid
52,Daiki Yamamoto*,28,YKU,Fgn,,3,0,1.000,1.42,1.71,44,,,0,0,1,31.2,18,6,5,0,15,3,31,0,0,2,126,1.042,5.1,0.0,4.3,8.8,2.07,player.fcgi?id=yamamo000dai
53,Taichi Yamano*,25,YKU,Fgn,,3,4,.429,6.08,6.79,14,,,0,0,0,50.1,59,38,34,8,12,3,32,2,0,0,217,1.411,10.5,1.4,2.1,5.7,2.67,player.fcgi?id=yamano000tai
54,Yasuaki Yamasaki,31,YKO,Fgn,,3,5,.375,3.35,4.30,38,,,0,0,4,37.2,35,18,14,4,11,0,29,3,1,1,163,1.221,8.4,1.0,2.6,6.9,2.64,player.fcgi?id=yamasa000yas
55,Kai Yokogawa*,23,YOM,Fgn,,3,1,.750,0.94,1.26,12,,,0,0,0,28.2,23,4,3,0,10,1,9,0,0,0,111,1.151,7.2,0.0,3.1,2.8,0.90,player.fcgi?id=yokoga000kai
56,Teruki Yoshino,25,YKO,Fgn,,3,2,.600,4.31,4.31,7,,,0,0,0,31.1,34,15,15,5,11,0,29,1,0,1,137,1.436,9.8,1.4,3.2,8.3,2.64,player.fcgi?id=yoshin000ter
57,Koyo Aoyagi,30,HAN,Fgn,,2,3,.400,3.69,4.57,12,,,0,0,0,61.0,66,31,25,2,21,1,35,6,1,1,269,1.426,9.7,0.3,3.1,5.2,1.67,player.fcgi?id=aoyagi000koy
58,Alberto Baldonado*,31,YOM,Fgn,,2,3,.400,2.44,2.61,58,,,0,0,9,51.2,40,15,14,1,28,1,63,0,0,2,220,1.316,7.0,0.2,4.9,11.0,2.25,player.fcgi?id=baldon001alb
59,Haruhiro Hamaguchi*,29,YKO,Fgn,,2,4,.333,3.25,4.44,11,,,1,0,0,52.2,47,26,19,3,29,0,45,1,0,0,229,1.443,8.0,0.5,5.0,7.7,1.55,player.fcgi?id=hamagu001har
60,Atsuya Horie*,27,HIR,Fgn,,2,0,1.000,1.58,2.93,53,,,0,0,0,40.0,39,13,7,0,16,0,38,4,0,1,174,1.375,8.8,0.0,3.6,8.6,2.38,player.fcgi?id=horie-000ats
61,Hiromu Ise,26,YKO,Fgn,,2,3,.400,3.62,3.62,37,,,0,0,0,32.1,28,13,13,5,5,0,28,2,0,1,129,1.021,7.8,1.4,1.4,7.8,5.60,player.fcgi?id=ise---000hir
62,Kenta Ishida*,31,YKO,Fgn,,2,3,.400,3.38,3.66,6,,,0,0,0,32.0,28,13,12,5,6,0,24,0,0,0,126,1.063,7.9,1.4,1.7,6.8,4.00,player.fcgi?id=ishida000ken
63,Keisuke Izumi,27,YOM,Fgn,,2,0,1.000,1.93,2.41,35,,,0,0,1,37.1,28,10,8,0,11,2,30,4,0,1,149,1.045,6.8,0.0,2.7,7.2,2.73,player.fcgi?id=izumi-000kei
64,Ren Kajiya,32,HAN,Fgn,,2,0,1.000,4.50,6.00,13,,,0,0,0,12.0,11,8,6,0,7,1,12,1,0,2,54,1.500,8.3,0.0,5.3,9.0,1.71,player.fcgi?id=kajiya000ren
65,Taiga Kamichatani,27,YKO,Fgn,,2,2,.500,4.37,5.56,18,,,0,0,0,22.2,32,14,11,3,11,2,16,1,0,0,110,1.897,12.7,1.2,4.4,6.4,1.45,player.fcgi?id=kamich000tai
66,Kyle Keller,31,YOM,Fgn,,2,2,.500,1.53,1.91,52,,,0,0,1,47.0,24,10,8,5,19,1,54,0,0,0,183,0.915,4.6,1.0,3.6,10.3,2.84,player.fcgi?id=keller000kyl
67,Masaya Kyoyama,25,YKO,Fgn,,2,1,.667,2.01,2.82,23,,,0,0,0,22.1,18,7,5,0,18,4,20,0,0,3,103,1.612,7.3,0.0,7.3,8.1,1.11,player.fcgi?id=kyoyam000mas
68,Raidel Martínez,27,CNI,Fgn,,2,3,.400,1.09,1.24,60,,,0,0,43,58.0,35,8,7,1,12,2,59,2,1,0,217,0.810,5.4,0.2,1.9,9.2,4.92,player.fcgi?id=martin001rai
69,Yuta Matsukihira,21,CNI,Fgn,,2,4,.333,3.70,3.70,8,,,0,0,0,48.2,46,20,20,5,16,1,40,4,1,1,206,1.274,8.5,0.9,3.0,7.4,2.50,player.fcgi?id=matsuk000yut
70,Shinya Matsuyama,24,CNI,Fgn,,2,3,.400,1.33,1.49,59,,,0,0,0,54.1,38,9,8,0,17,5,57,3,0,2,214,1.012,6.3,0.0,2.8,9.4,3.35,player.fcgi?id=matsuy000shi
71,Kohei Morihara,32,YKO,Fgn,,2,6,.250,2.41,2.72,58,,,0,0,29,59.2,54,18,16,3,12,4,59,1,0,0,247,1.106,8.1,0.5,1.8,8.9,4.92,player.fcgi?id=moriha000koh
72,Daisuke Moriura*,26,HIR,Fgn,,2,0,1.000,2.51,2.51,53,,,0,0,0,46.2,40,13,13,1,27,6,43,1,0,0,203,1.436,7.7,0.2,5.2,8.3,1.59,player.fcgi?id=moriur000dai
73,Yasuhiro Ogawa,34,YKU,Fgn,,2,5,.286,4.65,5.08,12,,,0,0,0,62.0,75,35,32,6,8,2,40,0,0,0,264,1.339,10.9,0.9,1.2,5.8,5.00,player.fcgi?id=ogawa-001yas
74,Yudai Ohno*,35,CNI,Fgn,,2,6,.250,4.87,5.48,9,,,0,0,0,44.1,50,27,24,5,12,0,27,2,0,1,192,1.398,10.2,1.0,2.4,5.5,2.25,player.fcgi?id=ono---000yud
75,Hiroya Shimamoto*,31,HAN,Fgn,,2,1,.667,2.81,3.16,33,,,0,0,0,25.2,27,9,8,1,10,0,10,1,0,1,113,1.442,9.5,0.4,3.5,3.5,1.00,player.fcgi?id=shimam000hir
76,Cy Sneed,31,YKU,Fgn,,2,8,.200,5.03,5.18,24,,,1,1,0,120.0,148,69,67,16,31,1,89,5,0,3,536,1.492,11.1,1.2,2.3,6.7,2.87,player.fcgi?id=sneed-000cy-
77,Kentaro Taira,28,YKO,Fgn,,2,0,1.000,1.21,1.21,4,,,1,1,0,29.2,24,4,4,1,2,0,22,0,0,0,108,0.876,7.3,0.3,0.6,6.7,11.00,player.fcgi?id=taira-000ken
78,Rei Takahashi,28,YOM,Fgn,,2,2,.500,3.66,3.86,11,,,1,0,0,46.2,42,20,19,3,21,1,22,1,0,1,199,1.350,8.1,0.6,4.1,4.2,1.05,player.fcgi?id=takaha000rei
79,Kodai Umetsu,27,CNI,Fgn,,2,8,.200,4.07,4.07,14,,,0,0,0,77.1,76,35,35,3,31,0,72,2,0,3,327,1.384,8.8,0.3,3.6,8.4,2.32,player.fcgi?id=umetsu000kod
80,Yuji Akahoshi,24,YOM,Fgn,,1,7,.125,3.12,3.36,21,,,0,0,0,75.0,66,28,26,8,10,0,43,2,0,1,291,1.013,7.9,1.0,1.2,5.2,4.30,player.fcgi?id=akahos000yuj
81,Javy Guerra,28,HAN,Fgn,,1,4,.200,1.55,1.55,59,,,0,0,14,58.0,47,10,10,3,11,1,48,0,2,2,226,1.000,7.3,0.5,1.7,7.4,4.36,player.fcgi?id=guerra000jav
82,Hiroki Hasegawa*,25,YKU,Fgn,,1,0,1.000,4.71,4.71,19,,,0,0,0,21.0,21,11,11,4,10,1,21,1,0,2,92,1.476,9.0,1.7,4.3,9.0,2.10,player.fcgi?id=hasega001hir
83,Ryuta Heinai,25,YOM,Fgn,,1,2,.333,2.16,2.97,31,,,0,0,0,33.1,35,11,8,4,6,1,22,1,0,2,140,1.230,9.5,1.1,1.6,5.9,3.67,player.fcgi?id=heinai000ryu
84,Tomoya Hoshi,30,YKU,Fgn,,1,0,1.000,3.62,3.62,36,,,0,0,1,37.1,37,15,15,4,18,2,33,2,0,1,166,1.473,8.9,1.0,4.3,8.0,1.83,player.fcgi?id=hoshi-000tom
85,Masanori Ishikawa*,44,YKU,Fgn,,1,4,.200,4.10,4.82,9,,,1,1,0,37.1,45,20,17,4,6,0,10,1,0,1,161,1.366,10.8,1.0,1.4,2.4,1.67,player.fcgi?id=ishika001mas
86,Taichi Ishiyama,35,YKU,Fgn,,1,0,1.000,4.35,4.35,37,,,0,0,5,41.1,53,20,20,2,14,5,39,1,0,3,189,1.621,11.5,0.4,3.0,8.5,2.79,player.fcgi?id=ishiya000tai
87,Akiyoshi Katsuno,27,CNI,Fgn,,1,1,.500,3.51,3.51,39,,,0,0,0,41.0,44,16,16,1,14,3,33,0,0,2,174,1.415,9.7,0.2,3.1,7.2,2.36,player.fcgi?id=katsun000aki
88,Shota Maruyama,25,YKU,Fgn,,1,0,1.000,0.57,1.15,27,,,0,0,0,31.1,23,4,2,0,9,0,23,1,0,2,125,1.021,6.6,0.0,2.6,6.6,2.56,player.fcgi?id=maruya000sho
89,Kengo Matsumoto,25,YKU,Fgn,,1,1,.500,4.40,4.40,3,,,1,1,0,14.1,17,7,7,2,1,0,12,1,0,0,60,1.256,10.7,1.3,0.6,7.5,12.00,player.fcgi?id=matsum000ken
90,Kazuki Mishima,34,YKO,Fgn,,1,1,.500,5.14,5.14,7,,,0,0,0,7.0,6,4,4,1,6,0,7,0,0,0,33,1.714,7.7,1.3,7.7,9.0,1.17,player.fcgi?id=mishim000kaz
91,Shohei Mori*,26,HIR,Fgn,,1,3,.250,2.70,3.38,5,,,1,0,0,26.2,25,10,8,1,4,1,17,1,0,0,109,1.088,8.4,0.3,1.4,5.7,4.25,player.fcgi?id=mori--002sho
92,Yuito Mori,32,YKO,Fgn,,1,3,.250,7.52,9.19,14,,,0,0,0,32.1,50,33,27,4,8,2,25,3,0,0,157,1.794,13.9,1.1,2.2,7.0,3.13,player.fcgi?id=mori--000yui
93,Koh Nakagawa,24,YKO,Fgn,,1,3,.250,3.19,3.19,31,,,0,0,0,31.0,29,11,11,2,10,2,30,1,0,2,134,1.258,8.4,0.6,2.9,8.7,3.00,player.fcgi?id=nakaga000koo
94,Shota Nakazaki,31,HIR,Fgn,,1,1,.500,1.96,1.96,24,,,0,0,0,23.0,24,5,5,1,2,0,16,1,0,1,94,1.130,9.4,0.4,0.8,6.3,8.00,player.fcgi?id=nakaza000sho
95,Yuhi Nishidate,22,YOM,Fgn,,1,3,.250,3.82,4.11,28,,,0,0,1,30.2,22,14,13,2,14,0,25,0,0,0,126,1.174,6.5,0.6,4.1,7.3,1.79,player.fcgi?id=nishid000yuh
96,Hidetaka Okadome,24,HAN,Fgn,,1,0,1.000,2.84,3.79,35,,,0,0,1,38.0,36,16,12,1,11,1,24,2,0,0,163,1.237,8.5,0.2,2.6,5.7,2.18,player.fcgi?id=okadom000hid
97,Taisei Ota,25,YOM,Fgn,,1,2,.333,0.88,0.88,43,,,0,0,29,41.0,28,4,4,0,8,2,54,0,0,1,161,0.878,6.1,0.0,1.8,11.9,6.75,player.fcgi?id=ota---002tai
98,Masaki Oyokawa*,23,HAN,Fgn,,1,3,.250,2.76,3.38,9,,,1,0,0,29.1,25,11,9,2,10,1,23,0,0,2,121,1.193,7.7,0.6,3.1,7.1,2.30,player.fcgi?id=oyokaw000mas
99,Elvin Rodríguez,26,YKU,Fgn,,1,1,.500,1.80,2.60,32,,,0,0,1,45.0,40,13,9,1,12,3,44,1,1,2,183,1.156,8.0,0.2,2.4,8.8,3.67,player.fcgi?id=rodrig004elv
100,Yuya Sakamoto*,26,YKO,Fgn,,1,1,.500,2.20,3.20,48,,,0,0,0,45.0,43,16,11,3,12,2,39,1,0,3,190,1.222,8.6,0.6,2.4,7.8,3.25,player.fcgi?id=sakamo000yuy
